tenure_months,monthly_charges,contract,support_calls,churned
71,47.34,month-to-month,1,no
1,69.02,month-to-month,0,no
7,26.95,month-to-month,3,yes
14,86.29,two-year,4,yes
69,42.96,two-year,4,no
50,24.84,month-to-month,1,no
63,68.52,one-year,2,no
15,97.64,two-year,1,no
52,31.89,month-to-month,0,no
27,42.8,one-year,0,no
35,51.42,month-to-month,1,no
1,41.76,one-year,1,no
44,79.49,two-year,2,no
59,49.82,month-to-month,2,no
48,51.96,two-year,4,no
11,84.58,one-year,2,no
38,51.11,one-year,3,no
19,80.82,one-year,0,no
69,45.72,two-year,3,no
63,39.7,month-to-month,2,no
14,24.11,one-year,1,no
37,116.53,month-to-month,1,no
67,61.99,month-to-month,2,no
61,76.1,one-year,3,no
51,69.22,month-to-month,0,no
46,74.0,month-to-month,3,no
3,71.24,one-year,4,yes
53,117.71,two-year,3,no
34,44.03,one-year,1,no
7,31.06,month-to-month,1,no
18,44.7,one-year,0,no
39,36.63,month-to-month,1,no
52,88.67,one-year,1,no
37,90.51,one-year,1,no
44,45.97,one-year,2,no
62,35.24,month-to-month,2,no
49,61.13,month-to-month,4,no
26,104.78,one-year,0,no
46,20.0,month-to-month,2,no
43,83.17,one-year,0,no
8,43.11,month-to-month,1,no
5,96.01,month-to-month,2,yes
47,43.05,month-to-month,0,no
28,62.86,one-year,1,no
43,32.34,two-year,2,no
23,45.57,two-year,2,no
17,104.65,month-to-month,3,yes
11,90.51,one-year,1,no
28,59.96,month-to-month,1,yes
58,48.25,one-year,2,no
29,22.65,month-to-month,1,no
27,60.16,month-to-month,1,no
41,69.23,month-to-month,1,no
70,67.9,month-to-month,1,no
28,67.66,one-year,3,yes
42,41.95,one-year,1,no
32,68.34,one-year,1,no
43,69.03,month-to-month,0,no
32,102.26,one-year,3,no
46,116.67,month-to-month,2,yes
39,66.58,one-year,5,no
49,50.84,month-to-month,1,no
68,68.38,one-year,1,no
11,54.81,month-to-month,0,no
40,51.44,month-to-month,2,no
32,68.53,month-to-month,5,yes
26,43.92,month-to-month,1,no
18,85.15,month-to-month,1,yes
4,67.4,one-year,1,yes
29,76.25,two-year,1,no
59,65.43,month-to-month,0,no
7,51.82,month-to-month,1,no
29,46.3,one-year,2,no
69,64.07,month-to-month,1,no
68,56.28,two-year,2,no
16,75.85,month-to-month,0,no
1,69.89,month-to-month,2,yes
48,35.94,month-to-month,1,no
2,71.68,month-to-month,0,no
22,36.43,month-to-month,3,no
36,54.59,month-to-month,1,no
63,62.64,one-year,3,no
7,20.0,two-year,3,no
48,72.29,month-to-month,2,no
38,73.77,one-year,1,no
10,66.05,month-to-month,0,no
61,59.39,one-year,3,no
61,60.66,month-to-month,1,no
35,45.59,month-to-month,2,no
68,63.26,two-year,4,no
44,56.18,one-year,2,no
65,72.29,month-to-month,2,no
69,39.9,month-to-month,1,no
41,75.89,two-year,3,no
20,73.58,two-year,2,no
11,66.46,one-year,1,yes
40,59.02,two-year,1,no
14,83.81,two-year,0,no
54,28.38,one-year,1,no
66,81.51,one-year,2,no
18,76.08,month-to-month,2,no
40,77.08,month-to-month,2,no
4,79.58,one-year,3,no
13,53.66,two-year,3,no
27,63.51,month-to-month,0,no
63,85.93,month-to-month,4,yes
69,80.77,month-to-month,4,yes
46,75.17,one-year,0,no
42,32.14,month-to-month,2,no
41,83.45,one-year,2,no
5,99.24,month-to-month,2,yes
27,95.24,one-year,0,no
70,75.85,one-year,2,no
30,31.06,month-to-month,0,no
16,93.56,month-to-month,2,yes
18,66.32,month-to-month,2,yes
51,20.0,one-year,0,no
3,79.43,month-to-month,5,yes
69,32.7,month-to-month,1,no
63,37.59,month-to-month,1,no
41,54.13,month-to-month,1,no
34,101.81,two-year,0,no
55,60.73,two-year,1,no
39,76.77,two-year,3,no
34,113.7,two-year,1,no
23,109.85,one-year,3,no
32,67.42,month-to-month,0,no
54,63.96,two-year,5,yes
4,38.48,one-year,1,no
2,52.64,one-year,1,yes
52,80.63,one-year,1,no
27,79.89,two-year,4,yes
58,72.76,month-to-month,1,no
3,94.87,one-year,0,no
65,50.69,month-to-month,4,yes
9,68.6,month-to-month,3,no
30,88.28,month-to-month,1,yes
69,84.6,month-to-month,3,no
8,96.77,month-to-month,0,no
47,79.93,month-to-month,0,no
52,62.26,month-to-month,1,no
31,79.05,two-year,0,no
6,44.94,one-year,1,no
38,29.01,one-year,5,no
31,84.52,two-year,0,no
62,68.62,month-to-month,1,no
49,77.71,month-to-month,1,no
25,27.56,month-to-month,1,no
5,60.87,month-to-month,1,no
42,55.0,two-year,3,no
20,48.39,month-to-month,0,no
49,20.0,one-year,5,no
62,61.63,two-year,1,no
26,92.43,month-to-month,2,no
65,79.52,one-year,4,no
37,54.98,month-to-month,3,yes
38,69.63,month-to-month,0,no
55,88.92,month-to-month,1,no
57,20.0,month-to-month,1,no
65,66.89,month-to-month,1,no
71,83.58,month-to-month,0,no
11,87.05,two-year,0,no
30,112.52,month-to-month,1,no
67,98.38,month-to-month,3,no
22,77.81,two-year,2,no
1,77.55,month-to-month,2,yes
41,89.67,two-year,1,no
54,56.52,two-year,0,no
53,69.0,one-year,2,no
58,92.66,month-to-month,1,yes
46,118.94,month-to-month,2,no
10,66.02,month-to-month,1,no
61,68.79,month-to-month,2,no
30,74.96,month-to-month,0,no
61,103.58,month-to-month,0,no
58,69.24,two-year,3,no
69,106.73,month-to-month,1,no
2,45.83,two-year,2,yes
62,65.35,one-year,2,no
45,65.05,month-to-month,0,no
35,89.66,one-year,0,no
57,96.13,month-to-month,1,no
68,32.26,month-to-month,2,no
37,47.12,two-year,0,no
7,78.42,month-to-month,2,no
52,53.53,month-to-month,3,no
17,31.94,month-to-month,1,yes
17,95.96,one-year,2,no
14,82.35,month-to-month,0,no
15,82.33,month-to-month,2,yes
65,58.11,one-year,3,no
26,95.72,month-to-month,1,yes
8,64.0,one-year,0,no
13,97.41,month-to-month,2,yes
29,47.21,month-to-month,3,no
25,48.65,month-to-month,0,no
23,75.12,one-year,5,no
68,52.44,two-year,1,no
62,86.89,one-year,1,no
41,76.5,month-to-month,0,no
71,46.93,month-to-month,0,no
25,71.82,month-to-month,1,no
10,61.22,month-to-month,1,no
20,92.9,month-to-month,0,no
7,54.19,month-to-month,4,yes
68,59.02,two-year,2,no
16,100.28,one-year,0,no
32,125.96,two-year,1,no
15,119.98,one-year,1,no
70,71.58,month-to-month,3,no
12,75.47,month-to-month,1,yes
37,108.34,month-to-month,3,yes
68,66.89,month-to-month,5,yes
38,45.59,month-to-month,0,no
64,72.92,one-year,2,no
64,81.29,month-to-month,3,no
55,49.27,month-to-month,2,no
53,28.84,month-to-month,2,no
41,34.08,one-year,1,no
42,86.64,one-year,1,no
60,51.04,one-year,2,no
31,66.47,month-to-month,0,no
68,75.31,month-to-month,0,no
63,85.48,month-to-month,1,no
27,61.63,month-to-month,1,no
30,82.47,one-year,0,no
51,47.75,two-year,1,no
66,60.96,one-year,0,no
7,44.39,month-to-month,2,no
5,98.29,month-to-month,0,no
18,69.32,two-year,2,no
31,51.52,two-year,1,no
12,61.19,one-year,4,yes
37,64.46,month-to-month,2,no
39,87.51,month-to-month,1,no
68,30.11,one-year,2,no
53,44.07,two-year,3,no
18,60.55,month-to-month,2,no
56,133.31,month-to-month,2,no
58,93.89,month-to-month,0,no
49,67.21,month-to-month,1,no
49,87.8,two-year,1,no
23,121.44,one-year,0,no
51,64.16,two-year,2,no
10,60.84,month-to-month,4,no
45,100.3,month-to-month,0,no
66,82.35,one-year,2,no
69,86.78,one-year,1,no
22,57.29,month-to-month,1,no
24,118.11,month-to-month,1,no
44,112.74,one-year,0,no
29,84.15,one-year,2,no
52,87.11,month-to-month,2,no
15,20.0,month-to-month,3,no
12,85.94,two-year,1,no
4,65.15,month-to-month,1,no
34,80.85,one-year,1,no
16,87.06,month-to-month,1,no
22,61.47,month-to-month,3,no
65,27.74,month-to-month,2,no
58,79.2,month-to-month,3,no
60,51.47,month-to-month,6,no
43,61.75,month-to-month,2,no
8,54.89,month-to-month,1,yes
54,61.46,month-to-month,0,no
43,20.0,month-to-month,1,no
65,100.42,two-year,1,no
35,76.33,month-to-month,2,no
13,97.78,month-to-month,2,no
43,119.5,two-year,0,no
33,70.56,month-to-month,1,no
47,24.94,month-to-month,1,no
27,47.65,month-to-month,1,no
22,39.83,month-to-month,2,no
9,57.45,month-to-month,1,yes
69,71.99,two-year,1,no
54,20.0,two-year,1,no
34,78.56,month-to-month,2,no
17,32.24,month-to-month,2,no
45,77.43,two-year,2,no
30,67.26,month-to-month,0,no
46,62.16,one-year,2,no
7,68.17,two-year,2,no
14,56.51,one-year,1,no
53,54.69,two-year,3,no
5,27.93,month-to-month,1,no
49,69.26,two-year,3,no
30,116.14,month-to-month,1,no
1,119.51,month-to-month,1,yes
55,103.05,month-to-month,0,no
50,87.65,month-to-month,2,no
58,53.09,one-year,5,no
64,106.07,two-year,2,no
52,68.6,month-to-month,1,no
60,68.28,month-to-month,0,no
9,62.72,month-to-month,2,no
66,72.3,month-to-month,0,no
65,59.12,two-year,1,no
50,67.91,two-year,3,no
57,42.89,two-year,1,no
53,60.66,one-year,0,no
63,127.01,one-year,1,no
64,68.26,month-to-month,1,no
38,64.03,month-to-month,0,no
58,83.31,month-to-month,2,no
66,87.7,two-year,3,no
22,42.16,month-to-month,1,no
4,64.82,month-to-month,2,no
13,92.96,month-to-month,1,yes
3,76.75,month-to-month,2,no
31,73.05,one-year,3,no
2,108.85,month-to-month,2,yes
19,53.06,month-to-month,1,no
18,72.07,two-year,1,no
51,57.0,two-year,1,no
18,107.26,one-year,2,no
68,21.2,one-year,0,no
14,53.25,month-to-month,1,yes
69,56.77,two-year,1,no
41,86.59,one-year,1,no
18,85.16,month-to-month,0,no
3,104.88,month-to-month,3,yes
22,30.65,month-to-month,1,no
42,88.76,month-to-month,2,yes
8,62.67,month-to-month,1,yes
12,53.36,month-to-month,4,yes
9,83.49,month-to-month,4,yes
49,47.0,month-to-month,1,no
7,20.0,month-to-month,1,no
2,60.74,month-to-month,1,no
33,32.56,month-to-month,3,no
23,53.78,month-to-month,2,no
41,79.29,one-year,2,no
67,77.8,month-to-month,2,no
61,109.67,month-to-month,2,no
39,65.01,one-year,0,no
46,31.67,month-to-month,1,no
58,51.1,month-to-month,1,no
32,47.02,one-year,1,no
47,39.55,one-year,2,no
16,80.88,two-year,2,no
44,53.87,two-year,2,no
17,20.57,one-year,4,no
14,87.42,one-year,1,no
55,67.21,month-to-month,1,no
41,78.92,one-year,2,no
27,72.64,month-to-month,2,no
3,85.79,month-to-month,1,no
17,70.95,month-to-month,0,no
57,100.91,month-to-month,3,yes
34,80.62,month-to-month,2,no
69,79.8,one-year,2,no
64,80.25,one-year,0,no
61,33.58,one-year,1,no
2,65.88,month-to-month,1,no
4,63.52,one-year,2,no
42,75.19,two-year,3,no
25,36.03,month-to-month,4,yes
60,110.85,month-to-month,2,no
23,72.61,month-to-month,0,no
11,39.72,month-to-month,0,no
9,27.28,month-to-month,1,no
22,62.97,month-to-month,0,no
45,67.76,month-to-month,0,no
9,52.04,one-year,3,no
57,72.3,month-to-month,2,no
22,53.97,one-year,1,no
23,83.79,month-to-month,0,no
48,51.89,one-year,1,no
62,69.04,one-year,2,no
31,94.47,one-year,0,no
57,134.29,month-to-month,2,no
22,44.81,two-year,1,no
10,58.39,one-year,2,no
59,49.0,month-to-month,2,no
55,89.61,month-to-month,1,no
54,41.3,month-to-month,1,no
63,57.89,month-to-month,3,no
36,69.26,month-to-month,0,no
15,45.53,month-to-month,1,yes
42,46.07,month-to-month,0,no
41,58.11,one-year,2,no
28,20.0,month-to-month,3,no
46,33.86,month-to-month,2,no
19,59.67,month-to-month,1,yes
44,73.71,month-to-month,1,no
57,65.36,month-to-month,2,no
7,25.65,two-year,2,yes
33,58.41,month-to-month,1,no
47,89.96,month-to-month,1,no
4,83.9,month-to-month,4,yes
45,68.03,month-to-month,1,no
65,47.82,two-year,2,no
59,85.78,two-year,0,no
49,55.53,month-to-month,1,no
58,40.77,month-to-month,1,no
26,49.95,month-to-month,1,no
24,106.21,month-to-month,0,yes
6,75.5,one-year,0,no
52,98.98,one-year,1,no
23,58.02,one-year,2,no
62,93.45,one-year,4,no
34,54.96,month-to-month,1,no
64,66.06,month-to-month,4,no
10,132.16,month-to-month,1,yes
12,89.18,one-year,1,no
25,57.47,month-to-month,5,yes
2,67.88,month-to-month,1,yes
35,78.16,two-year,1,no
47,100.26,month-to-month,2,yes
47,57.77,month-to-month,2,no
16,26.47,month-to-month,2,no
12,63.01,two-year,2,no
41,70.38,month-to-month,2,no
45,72.74,month-to-month,0,no
68,102.92,month-to-month,1,no
64,77.92,one-year,1,no
27,90.32,month-to-month,3,yes
12,42.47,two-year,2,no
18,91.7,month-to-month,1,no
63,122.41,one-year,0,no
33,89.32,month-to-month,3,no
71,76.34,two-year,4,no
47,73.85,month-to-month,0,no
43,114.68,one-year,2,no
8,46.82,two-year,1,yes
42,67.22,month-to-month,1,no
28,81.51,month-to-month,1,no
60,88.6,one-year,4,no
10,59.07,month-to-month,3,yes
14,77.68,month-to-month,1,no
48,63.05,one-year,0,no
49,73.01,month-to-month,1,no
59,66.7,month-to-month,1,no
38,41.46,month-to-month,3,yes
27,69.47,month-to-month,1,yes
22,91.93,month-to-month,0,no
27,45.82,month-to-month,2,no
48,63.97,month-to-month,2,yes
39,86.62,month-to-month,1,no
22,43.25,month-to-month,2,yes
16,74.57,one-year,2,yes
51,43.5,month-to-month,0,no
18,98.37,month-to-month,1,no
15,127.82,month-to-month,2,yes
24,120.56,month-to-month,3,yes
61,64.52,month-to-month,1,no
33,88.5,month-to-month,2,yes
43,73.02,month-to-month,0,no
6,72.55,one-year,1,no
25,108.69,two-year,2,yes
54,37.02,two-year,0,no
55,96.38,month-to-month,1,no
42,68.78,month-to-month,1,yes
63,105.21,month-to-month,2,no
22,74.68,month-to-month,1,no
12,53.18,two-year,4,no
6,76.93,month-to-month,0,no
15,88.4,month-to-month,2,no
55,70.89,one-year,0,no
65,82.2,one-year,1,no
10,56.96,month-to-month,4,yes
36,20.0,two-year,2,no
10,92.5,month-to-month,1,no
60,87.48,one-year,1,no
10,73.7,month-to-month,2,yes
46,71.71,two-year,4,yes
6,95.91,month-to-month,0,yes
53,58.57,month-to-month,0,no
65,52.34,two-year,4,no
52,65.29,two-year,2,no
20,99.73,two-year,4,no
60,35.32,two-year,4,no
22,99.8,month-to-month,3,yes
54,54.02,month-to-month,0,no
60,42.48,month-to-month,3,no
35,101.5,month-to-month,2,no
45,67.58,two-year,0,no
61,37.49,month-to-month,3,no
14,61.03,month-to-month,2,no
2,93.28,month-to-month,1,no
31,99.8,month-to-month,3,no
13,59.32,month-to-month,3,no
63,80.16,month-to-month,0,no
62,87.85,two-year,1,no
27,53.88,one-year,0,no
22,78.88,month-to-month,0,no
51,69.2,two-year,3,no
33,56.6,one-year,0,no
7,57.7,month-to-month,5,no
48,71.68,two-year,2,no
52,70.75,two-year,3,no
5,55.86,one-year,2,no
56,59.35,month-to-month,2,no
38,97.83,two-year,1,no
59,75.35,two-year,0,no
61,92.13,month-to-month,3,yes
48,100.05,month-to-month,0,no
24,84.72,two-year,2,no
27,126.77,one-year,2,yes
52,49.37,month-to-month,2,no
5,90.21,one-year,1,yes
17,62.05,month-to-month,2,no
37,116.39,two-year,0,no
67,112.51,month-to-month,3,no
54,21.14,month-to-month,3,no
58,45.78,month-to-month,1,no
14,86.61,month-to-month,0,no
20,89.75,two-year,2,no
19,88.41,month-to-month,1,no
54,68.23,month-to-month,2,no
39,81.38,two-year,2,no
15,86.33,month-to-month,1,yes
54,68.05,month-to-month,0,no
46,95.68,two-year,1,no
64,20.0,month-to-month,1,no
40,85.84,two-year,1,no
9,44.15,two-year,1,no
64,93.97,month-to-month,4,no
14,64.28,one-year,2,no
4,47.78,one-year,1,no
57,79.35,one-year,1,no
32,47.22,month-to-month,0,no
46,47.18,month-to-month,0,no
10,30.82,month-to-month,1,no
52,69.33,month-to-month,1,no
29,82.42,month-to-month,1,no
71,95.58,two-year,1,no
46,66.46,two-year,3,no
67,96.2,month-to-month,1,no
57,70.45,one-year,0,no
60,67.67,month-to-month,1,no
7,84.34,month-to-month,2,yes
56,96.46,month-to-month,0,no
43,61.46,two-year,1,no
29,63.91,month-to-month,1,no
23,65.98,one-year,1,no
46,72.07,two-year,1,no
15,47.49,month-to-month,1,no
14,95.7,two-year,1,no
63,59.99,month-to-month,1,no
54,81.56,one-year,1,no
42,49.36,two-year,1,no
54,78.97,two-year,1,no
23,79.79,two-year,1,no
52,59.48,one-year,2,no
15,120.52,two-year,2,no
32,79.28,month-to-month,0,no
11,114.42,month-to-month,2,yes
27,93.98,month-to-month,0,no
25,53.44,month-to-month,4,no
30,60.45,month-to-month,5,yes
34,80.9,one-year,0,no
3,71.53,one-year,1,no
25,71.24,month-to-month,3,yes
60,62.84,two-year,0,no
31,24.79,month-to-month,1,no
39,64.36,month-to-month,0,no
8,20.0,two-year,0,no
28,79.3,two-year,2,no
69,51.85,one-year,1,no
39,52.11,month-to-month,2,no
2,64.52,month-to-month,2,yes
52,76.82,two-year,3,no
55,34.2,month-to-month,0,no
28,26.28,two-year,3,no
3,43.35,one-year,2,yes
59,20.0,month-to-month,4,no
18,45.83,two-year,2,no
66,109.77,month-to-month,1,no
26,43.59,one-year,3,yes
28,86.29,one-year,5,yes
57,35.71,month-to-month,1,no
10,77.48,month-to-month,3,no
3,62.01,one-year,0,no
54,68.5,month-to-month,2,no
66,84.22,month-to-month,1,no
71,113.91,two-year,2,no
10,74.87,two-year,2,no
11,73.11,month-to-month,0,yes
25,45.67,two-year,1,no
51,84.58,month-to-month,1,no
65,63.85,month-to-month,1,no
59,90.8,two-year,2,no
27,68.91,month-to-month,1,no
66,113.52,one-year,1,no
19,20.43,two-year,1,no
9,62.59,month-to-month,2,yes
31,92.04,month-to-month,1,no
7,61.23,two-year,1,no
49,50.2,one-year,2,no
71,63.35,two-year,3,no
8,35.5,month-to-month,1,no
9,72.97,one-year,2,no
13,131.01,two-year,4,yes
13,98.63,month-to-month,2,yes
38,42.27,month-to-month,2,no
41,48.17,month-to-month,0,no
68,59.88,month-to-month,1,no
32,95.11,month-to-month,1,yes
66,49.46,month-to-month,3,no
54,52.74,month-to-month,0,no
61,92.12,one-year,3,no
14,91.62,month-to-month,2,yes
33,60.65,one-year,0,no
65,42.06,month-to-month,1,no
54,31.26,month-to-month,1,no
16,52.53,one-year,1,no
61,20.0,month-to-month,1,no
55,88.75,one-year,2,no
11,54.25,month-to-month,3,yes
5,82.03,one-year,0,no
19,116.71,two-year,0,no
34,99.32,month-to-month,3,yes
11,41.22,month-to-month,0,no
3,91.73,one-year,1,no
8,98.95,month-to-month,2,yes
23,51.34,two-year,2,no
28,46.17,month-to-month,1,no
23,67.26,month-to-month,2,yes
32,29.96,one-year,0,no
52,106.77,two-year,0,no
18,20.0,one-year,2,no
33,42.33,two-year,2,no
52,63.26,month-to-month,1,no
5,64.32,month-to-month,1,no
67,74.15,one-year,1,no
71,76.79,two-year,2,no
21,64.66,one-year,1,no
64,98.42,one-year,1,no
18,20.0,month-to-month,1,no
66,70.0,one-year,5,no
47,52.14,one-year,2,no
18,73.31,two-year,2,no
5,75.52,two-year,4,no
28,47.2,one-year,0,no
53,53.98,two-year,0,no
17,89.81,month-to-month,2,no
37,78.73,one-year,0,no
9,52.99,month-to-month,2,no
31,121.0,one-year,3,yes
3,127.73,month-to-month,1,yes
71,33.44,month-to-month,1,no
36,77.54,two-year,1,no
60,132.72,month-to-month,1,no
9,89.6,month-to-month,2,yes
12,75.53,month-to-month,1,yes
13,64.8,two-year,0,no
41,56.47,month-to-month,1,no
62,64.69,two-year,0,no
44,56.23,month-to-month,2,no
35,88.62,month-to-month,2,no
67,60.05,one-year,1,no
14,58.97,one-year,2,no
12,39.95,two-year,0,no
48,68.76,two-year,3,no
61,47.65,month-to-month,2,no
19,65.48,one-year,1,no
19,96.05,one-year,2,yes
38,79.15,month-to-month,1,yes
56,82.62,one-year,1,no
21,78.9,two-year,1,no
59,71.48,month-to-month,0,no
37,66.82,two-year,2,no
51,62.3,month-to-month,1,no
45,88.98,month-to-month,1,no
35,42.89,one-year,2,no
39,103.52,month-to-month,1,no
71,70.85,one-year,0,no
29,51.28,month-to-month,1,no
68,57.77,month-to-month,0,no
57,53.08,one-year,2,no
13,74.01,one-year,2,no
63,52.05,month-to-month,2,no
28,98.55,month-to-month,1,no
13,50.46,two-year,1,no
18,20.0,two-year,1,no
10,51.73,two-year,1,no
25,20.0,month-to-month,2,no
9,69.0,month-to-month,1,no
39,96.48,month-to-month,1,no
70,86.19,month-to-month,0,no
69,36.56,month-to-month,1,no
67,50.94,month-to-month,0,no
18,114.47,month-to-month,0,no
17,77.96,month-to-month,2,no
49,70.1,month-to-month,3,yes
69,96.4,month-to-month,1,no
59,131.32,one-year,4,no
15,102.41,one-year,0,no
53,73.49,two-year,2,no
36,78.87,two-year,0,no
32,85.43,one-year,0,no
36,54.68,two-year,1,no
39,43.53,month-to-month,2,no
65,71.31,one-year,1,no
57,46.32,month-to-month,1,no
3,68.46,month-to-month,1,no
55,72.4,two-year,0,no
23,128.53,one-year,1,yes
24,48.72,month-to-month,1,no
43,66.96,one-year,3,no
70,65.89,month-to-month,2,no
5,80.93,two-year,0,no
37,96.17,month-to-month,1,no
17,57.74,month-to-month,0,no
65,49.47,month-to-month,3,no
34,28.98,month-to-month,1,no
61,46.84,two-year,0,no
63,83.41,month-to-month,2,no
8,71.14,month-to-month,1,yes
55,44.61,one-year,0,no
57,60.68,one-year,2,no
59,70.79,one-year,2,no
71,82.59,month-to-month,3,no
55,55.17,month-to-month,1,no
60,63.74,two-year,2,no
51,24.54,month-to-month,1,no
21,41.22,month-to-month,4,yes
61,110.44,month-to-month,1,no
50,20.0,month-to-month,2,no
49,61.55,two-year,1,no
70,75.48,one-year,0,no
53,60.64,one-year,1,no
25,49.8,month-to-month,3,no
22,68.47,one-year,2,no
24,69.88,one-year,1,no
12,67.95,month-to-month,1,yes
6,23.06,month-to-month,1,no
54,66.31,month-to-month,2,no
56,48.62,one-year,2,no
12,56.31,one-year,3,no
28,75.67,one-year,0,no
66,86.02,month-to-month,3,no
60,92.42,two-year,1,no
43,57.59,month-to-month,1,no
